Foodweb,Size
PC2P5,33
PGSBP1,44
PGSBP2,94
PGUBP1,48
PGUBP2,51
PGUBP3,68
PGUBP4,54
PP1I1,119
PP1I2,30
PP1I3,24
PP1I4,60
PP2I1,86
PP2I2,69
PP2I3,93
PP2I4,64
PP2M1,47
PP2M2,58
PP2M3,58
PP2M4,49
RMP1,127
RMP2,67
RMP3,40
RMP4,45
RMP5,97
RV1P1,445
RV1P2,357
RV1P3,316
RV1P4,323
RV2P1,377
RV2P2,171
RV2P3,320
RV2P4,210
SF1I1,30
SF1I2,58
SF1I3,107
SF1I4,80
SF1M1,28
SF1M2,16
SF1M3,30
SF1M4,31
SF2I1,34
SF2I2,51
SF2I3,31
SF2I4,32
SF2M1,32
SF2M2,30
SF2M3,55
SF2M4,49
SP1,24
WP1,367
WP2,128
WP3,289
WP4,147
Skipwith Pond,364
